simulation,total_return,annual_return,max_drawdown,sharpe_ratio,final_value,volatility
1,2.093753575643307,0.25660666462790904,-0.3385051918409117,0.8258229915600482,154687.67878216537,0.35290645055831776
2,4.659574426779374,0.41986941422653,-0.3130154686379064,1.2055509400599644,282978.72133896867,0.3387564913473508
3,6.355061157590689,0.4971476831429953,-0.2530327898603358,1.3115625486935185,367753.05787953443,0.3562764572719816
4,4.960480040581657,0.43482340603231195,-0.29810710667603396,1.1754421239242363,298024.00202908285,0.3639111808657964
5,6.870781979505537,0.5178089166964757,-0.2519562161396971,1.2928636857494895,393539.09897527687,0.37868517440020877
6,5.642080930957768,0.46658995848176343,-0.23059643296266255,1.2765026423723858,332104.04654788837,0.3474276412146889
7,5.162377445357953,0.44452271119012843,-0.24089889339034332,1.312237578418638,308118.87226789765,0.3192579553913353
8,4.579935490699363,0.4158056919967108,-0.2715161844660246,1.2352964113686786,278996.77453496814,0.3240995745296622
9,8.91531287164558,0.5903773260177274,-0.22235671798727896,1.5005303366560503,495765.64358227904,0.3501087731766843
10,4.611442908630822,0.4174189128867598,-0.3135289117825889,1.1829322078922369,280572.14543154114,0.3459703160865392
11,3.5881695472309696,0.3608639885925218,-0.27917474356197003,1.1327524178633603,229408.4773615485,0.31678827542686805
12,1.285462790540993,0.18195655757429563,-0.3018342932555606,0.6855929990130246,114273.13952704964,0.3178560961350524
13,13.978822305741769,0.7287693596671567,-0.2234936797948971,1.9190490103478286,748941.1152870884,0.3106044889347208
14,21.339942855753012,0.8743386325557001,-0.2135277182210205,1.9589713617216133,1116997.1427876507,0.35300261019895246
15,1.2161775610566967,0.1746204297663967,-0.3634038601379142,0.6562414868415141,110808.87805283483,0.3290126713662182
16,1.1996302461570605,0.17284132983406564,-0.3622271236750396,0.6371677768658054,109981.51230785303,0.3428602208857936
17,1.9533076075857174,0.2448545478774613,-0.2892869339779643,0.8526468439914452,147665.38037928587,0.31553287787652495
18,4.690592279798823,0.42143981872760605,-0.3058129448141896,1.2627792308981065,284529.61398994114,0.3190050517403185
19,7.008713463975955,0.5231512430655452,-0.21612116362873895,1.413381819951164,400435.67319879774,0.3389959983398943
20,2.584446779203872,0.2945842520350972,-0.2678326257959882,0.9111868973953068,179222.3389601936,0.35148935385442975
21,7.240074452352323,0.5319496768840082,-0.24398719369880523,1.3295537598128613,412003.7226176161,0.3738482635474749
22,1.9803169086188697,0.24714872671272303,-0.4890211682561899,0.8699537056627908,149015.84543094347,0.3088899150080685
23,6.815927438799673,0.5156635329670327,-0.1961685907218776,1.4477600365034078,390796.3719399837,0.3239088040491536
24,3.813945215968916,0.3741493575398098,-0.36614264075948205,1.1350726694927091,240697.2607984458,0.3276791626466188
25,5.859648533306931,0.476181311730703,-0.23723240597351475,1.2809100062243903,342982.42666534655,0.3531550640121043
26,1.019507143932172,0.1527497148630168,-0.2977854824911435,0.6123874665644797,100975.3571966086,0.31243610029512636
27,6.379069844510141,0.4981347908299114,-0.28741736156298064,1.329580849554513,368953.49222550704,0.35050816440970717
